"subj","std_res_f_coca_log","reglen_C","std_res_prevf_coca_log","std_res_nextf_coca_log","gort.wpm.st:region_C","sspan.corr.st:region_C","decod.comp_bct:reglen_C","gort.wpm.st:reglen_C","sspan.corr.st:reglen_C"
29,-6.59193513179099,18.9078955022605,-5.51933923465636,-5.52763424509291,3.55375470876631,-4.43351605660223,-4.03478805256185,-5.01284134331678,5.11693806767581
30,-6.62095817545402,18.6782394889241,-5.33662102959486,-5.50704901413289,2.99720039794575,-3.95754767733881,-4.01881719365727,-5.24941007704725,5.30212647883023
31,-6.93362415255897,19.1536913246115,-5.51884890579076,-5.69941331394185,3.02815438382226,-3.85506093260112,-4.31072576556846,-5.31168736000262,5.13100815072888
32,-6.70517640773845,18.9382174698044,-5.56322340801493,-5.57060534922286,2.9949635595947,-3.97103810099218,-4.20649507780371,-5.23222047897558,5.36227960930476
33,-6.64494561498627,18.8412995527985,-5.59717122002024,-5.53498316254521,2.54383216160959,-4.03929386149907,-4.16726676776169,-4.98067668989531,5.36320804737431
34,-7.06688641734179,18.9704487659682,-5.50850051089789,-5.70900858514898,3.27120909598948,-4.53497585103244,-3.42809562923607,-5.00326148497847,4.36177047832203
35,-6.67770335990948,19.0816624594571,-5.49965268745097,-5.58026917766454,3.38695724943251,-3.92387943703055,-4.11576947665652,-5.23989500780138,5.35120470049543
36,-6.6154301945322,18.9898409723562,-5.44581369647527,-5.66249550756145,2.90569489794351,-3.63796746340866,-4.10964789190478,-5.11170041350998,4.83395735465915
37,-6.66090420700228,18.6833887435086,-5.31755699475157,-5.63213131182292,2.16205535507603,-4.96385528234271,-3.65110060296822,-4.45547907612283,6.24077208752594
38,-6.71839356254154,18.6123945297695,-5.55277452692408,-5.687186756165,2.71229818893626,-3.60645713831506,-1.81671356501885,-4.32432472997967,4.15457697781732
39,-6.64522465218625,18.8668916807734,-5.3798736929703,-5.67826210085503,2.92785092432702,-3.97238496646615,-4.13579599951638,-5.35842415067153,5.31407178290664
40,-6.8363708949596,18.7889071898839,-5.31297720908682,-5.58654794066017,2.82074491678486,-3.45365311607165,-4.16452012447983,-5.23895127326661,5.2234439505915
41,-6.64949617622472,18.5729332911958,-5.41637322527008,-5.48085231750791,2.96127384204671,-3.81386956184916,-4.59556653729612,-5.29934226629724,5.57455061964485
42,-6.72142400942338,18.6187965395866,-5.50496595517016,-5.55779367854778,3.05952202441879,-3.86472718663763,-4.03689387885267,-5.19384085767093,5.60458450172846
43,-6.82158710638466,18.9856915449969,-5.53587103478501,-5.6645200705614,2.9379893963402,-3.95916420431661,-4.07152014104876,-5.05960241092112,5.38497037925755
44,-6.80977923325972,19.5495437397459,-5.32756783946648,-5.47973168873804,2.92416779500482,-2.98401008017864,-4.81776707316436,-5.55243882081822,7.16554622216228
