"subj","region_C","std_res_f_coca_log","reglen_C","std_res_prevf_coca_log","std_res_nextf_coca_log","gort.wpm.st:region_C","decod.comp_bct:reglen_C","gort.wpm.st:reglen_C","sspan.corr.st:reglen_C"
22,0.0240274780712984,5.24478732434206e-14,5.11005647494113e-87,0.000488488025825208,2.39729619235048e-05,1.61158892761707e-06,1.83023043771681e-06,1.04967802998943e-08,0.000525911757410407
23,0.00835503978009344,1.11980850558733e-14,6.41840844201442e-88,0.000536298591598174,2.09783873556811e-05,6.76860333322547e-05,1.08989565798049e-05,9.5898313799828e-10,0.000436057651087283
24,0.00809755141567377,5.66160985505885e-14,3.70943896005397e-85,0.00101269906946422,3.79189850515978e-05,7.92960673378834e-05,2.14673383808507e-06,2.63165577350959e-09,0.000220199209954803
25,0.000767748420233672,1.54677923904332e-14,2.23956172464365e-93,0.000885140281790682,2.19652197265784e-05,0.000221169353208418,2.79995473471029e-06,2.30220555500436e-10,0.000341418180251667
26,0.00833192198366558,3.66006917123485e-14,3.01757272935791e-88,0.000649268481996604,3.38384663156442e-05,0.000123928747690947,5.08114268894515e-07,2.44244446168813e-08,8.39254675256874e-05
27,0.00838333433508883,2.02925803095358e-14,9.30268629542982e-88,0.000685131507547656,3.14902376599093e-05,0.000121277290024761,4.09364199565224e-06,3.1568886672359e-10,0.000149561979445506
28,0.00452752949644723,2.99976349732543e-14,1.14275389576046e-88,0.000587246232257394,2.34176206052909e-05,2.60837413785542e-05,7.93311307902981e-06,3.29961138228009e-09,0.000236420168739191
29,0.00204532683774268,5.18652048236881e-14,2.41664701652535e-87,0.000476779555807009,3.43643405006041e-05,5.81041247139157e-06,1.03599465745688e-05,6.8322800091019e-09,0.000520509357894382
30,0.00652483267769202,3.41879856686677e-14,1.62079290939845e-86,0.00105775100149508,1.97385030370464e-05,7.39369309074442e-05,5.06471688472291e-06,1.17900342896056e-09,0.000230428065593845
31,0.0142813428567055,9.24256607774899e-15,1.08683940125768e-89,0.000454832220847043,1.80949116289762e-05,6.69620082654624e-05,1.78646763498264e-06,8.84555991167974e-10,0.000570781995910799
32,0.00673961035872728,7.7991395286678e-15,5.81148223513818e-89,0.000413380140793171,3.09160634120493e-05,6.3335926866915e-05,2.87051170648884e-06,1.15327510868652e-09,0.000178194658370062
33,0.00632676257752338,3.91568749358546e-14,2.25788568478882e-87,0.00038204318089312,4.6674357156041e-05,8.64427651844238e-05,3.48259781775784e-06,1.45191055086601e-08,0.000190260414799695
34,0.0137057765753278,2.06789593240262e-15,1.62553537388212e-90,0.000504861080668293,1.16160311668425e-05,1.15260410840841e-05,2.26210070871019e-05,1.78224282218568e-09,0.00110302294895443
35,0.00401170842946914,6.54320780109703e-14,5.50526708533108e-88,0.000592454047836545,1.92532874487279e-05,0.000145985402026952,9.17116016071539e-07,5.12119624423824e-09,0.000199941305654504
36,0.0113617693561649,3.58720667851586e-14,1.08481671516097e-88,0.000652162045989918,2.12258002018945e-05,0.000112225377553655,4.51494565995233e-06,3.27410572716248e-09,0.00134162622310219
37,0.00684337464457728,1.02225734825752e-13,4.37584635744608e-87,0.000549299764826582,5.51880789550602e-05,0.0001477180897826,6.33388533614369e-06,7.08855773569156e-09,0.0001034130030432
38,0.00285183080968082,3.21279185756e-13,1.23799915744042e-82,0.000424462345901364,2.62040384866449e-05,0.000396273607456307,0.0445129873751987,3.3617095204336e-07,0.011096090708162
39,0.00408665418671918,3.61837484492857e-14,6.94230371853075e-88,0.00107322561426647,1.92514912287666e-05,2.78455357153468e-05,3.77162067525238e-06,2.25677576070297e-09,0.000206988298093349
40,0.00862262920901659,7.39511037205402e-15,5.4319571708561e-87,0.000998978070989146,2.4529723442225e-05,8.2338675236675e-05,4.07318798267132e-06,1.12977449401229e-09,0.000244801782186894
41,0.00916567254874473,3.4329700360214e-14,7.13663837247774e-82,0.000874283191824701,3.40422436392304e-05,6.94638715436898e-05,2.08703819931302e-09,2.35080239892051e-09,5.60536132773701e-05
42,0.0091789380589785,5.56204621945506e-15,3.6777495626148e-86,0.000619278843131648,3.45261438143258e-05,6.5609969298848e-05,5.46655261447312e-06,1.14152299757106e-09,0.00013825605937982
43,0.00494125876417301,2.28722409938742e-14,3.92128181754691e-87,0.000441393320631464,2.99796221001848e-05,4.20695793300697e-05,4.3315577219477e-06,1.77509896395043e-09,0.000226326627998024
44,0.0106526989370298,9.62300928104709e-15,5.12756424621468e-93,0.00107193501028531,4.67895264597769e-05,6.39099112459022e-05,3.41460458959489e-08,3.64888063140833e-10,7.22456526441032e-09
