"subj","region_C","std_res_f_coca_log","reglen_C","std_res_prevf_coca_log","std_res_nextf_coca_log","gort.wpm.st:region_C","decod.comp_bct:reglen_C","gort.wpm.st:reglen_C","sspan.corr.st:reglen_C"
29,3.23086087846443,-6.70074539963467,19.9113740542888,-3.66877796329019,-4.32947608933401,4.66044409571496,-4.66730533157749,-6.01755696819792,3.63572227230613
30,2.8436767915063,-6.7445916975878,19.8172927393973,-3.44513784437632,-4.45621303198689,4.04817526810464,-4.80297404270638,-6.31898278997657,3.87065176016718
31,2.55617416900992,-7.04727880483925,20.2007990594297,-3.68227617141149,-4.47426294037485,4.07683268359119,-5.01706505430648,-6.37425539618853,3.63528505430223
32,2.79642826717348,-6.84789771339974,20.1268839334282,-3.70864831188945,-4.3541551736419,4.03866439366701,-4.91407248823655,-6.34204517054896,3.91697177967363
33,2.8668417364786,-6.73183473975327,19.9164487171956,-3.73027356792759,-4.25822436370118,3.9954684844816,-4.86175372390831,-5.93141959575737,3.93890311314232
34,2.57587825085339,-7.04538546261685,20.2769532384192,-3.65401855811343,-4.57337945414446,4.46100303384164,-4.45883208535058,-6.2543130418339,3.43649850590585
35,3.01621602892817,-6.77208043982485,19.9775590723506,-3.60431070976436,-4.46462720416911,3.88742351382102,-5.15031244788537,-6.08975424047402,3.92959253759696
36,2.63825010745269,-6.73543465218531,20.067583663384,-3.58132869851312,-4.43971731027208,3.95915393618097,-4.79575613372187,-6.18065710443123,3.41399919317196
37,2.83991024920106,-6.68355943439248,19.8802405769894,-3.63076566320344,-4.22413646617233,3.87419635297748,-4.7140755591686,-6.05762123424051,4.08628738587801
38,3.11552468930451,-6.88609481126501,19.3803147547878,-3.70243678150754,-4.39225914173726,3.59349904768774,-2.22502348960803,-5.26300227185874,2.59704885389416
39,3.00449613026009,-6.72676251832231,19.97388334035,-3.44092891350789,-4.46220174331258,4.28543209992755,-4.86597399392399,-6.21517615231983,3.89767738775334
40,2.74346006121389,-7.00846838568167,19.8808664277526,-3.46216888716676,-4.40497356307027,4.01835435313839,-4.85218694461767,-6.32538584533538,3.85771073651032
41,2.74650380379262,-6.76717588006729,19.2915971999834,-3.49422126602078,-4.33571642974043,4.03117644083474,-5.93172547586124,-6.44336035126995,4.4996135858918
42,2.71927369685113,-7.02521359761662,19.7757930404571,-3.59662617060747,-4.32757536889997,4.08434959324931,-4.80160299477009,-6.31302931815669,3.99409563135129
43,2.93522034670379,-6.79504401111994,19.8901847283778,-3.68968810492472,-4.36237231436857,4.17501131489137,-4.83270110349182,-6.25674507373585,3.87741959381497
44,2.65298951246439,-6.96696087552025,20.5400273579338,-3.43908782891644,-4.25546395696858,4.11396662325977,-5.57314266932292,-6.66065707767834,6.13852882118869
