"subj","region_C","std_res_f_coca_log","std_res_prevf_coca_log","prevwlen_C","printexp.comp_bct:region_C","gort.wpm.st:region_C","decod.comp_bct:region_C","decod.comp_bct:reglen_C"
14,2.2154865645874e-11,6.84965009133144e-07,8.68584918154035e-05,4.59801474871013e-08,0.00686734063072801,0.0038283965478023,0.00723845354360556,0.00537557515479282
15,1.78605137494874e-10,5.88333302823335e-07,6.39412823340816e-05,5.59186100383518e-09,0.00814079380998307,0.00623886170192871,0.0351836295942041,0.000781072931680488
16,2.77044452235066e-13,5.75765087484613e-07,5.97272317496767e-05,7.7300473982708e-08,2.9244260184997e-05,2.86937025844488e-05,0.124311182989241,0.0294188840573713
17,1.52854338877023e-10,1.0106357174089e-06,3.28783050482948e-05,6.29122331908286e-08,0.00207130081061186,0.00427003019104433,0.00281441157439812,0.0062256211722893
18,3.89293393660191e-11,4.1356403411931e-07,8.2388202846665e-05,7.0906339417714e-08,0.00695750852317437,0.0578953961835915,0.00403230632530563,0.000860974136299065
19,3.16179841529777e-11,6.61891332098989e-07,3.93454821040683e-05,2.7862315477293e-08,0.00590692980388508,0.00405025987101745,0.00709027922980452,0.00391675384609771
20,1.92694925123617e-11,6.1832531599313e-07,3.48336933536692e-05,3.39676203722139e-08,0.00614474566980194,0.0041406090061683,0.00663329484600234,0.00422498949948633
21,1.86863476593128e-11,6.80482072068352e-07,6.82889169928664e-05,3.82707682199005e-08,0.00856948996787783,0.00450506549458059,0.00756360367322155,0.0117749152326806
22,4.89452681806802e-10,7.5197598879515e-07,5.45185662016235e-05,2.45049920700195e-08,0.00325363747427929,0.000287425839336244,0.0313006834372563,0.00415894307857424
23,2.12255651369938e-12,1.4948224866791e-07,4.03343489201643e-05,1.45244507538729e-08,0.0118655125655665,0.00813252415890237,0.00155567960456035,0.010789068851317
24,1.52525110082853e-11,7.09746696262732e-07,0.000109520931340739,6.66766257601216e-08,0.00657980006338152,0.00601270036267418,0.00455992200990649,0.00606414609768497
25,1.6939170688117e-13,7.39602709574103e-07,0.000176341198579517,1.38570517286496e-07,0.0158327565437632,0.0131989563387268,0.00250517038956791,0.00824030353133636
26,2.15703393022292e-11,5.79244396996283e-07,4.19304936004699e-05,2.36199621617387e-08,0.0067554510454695,0.00478640162102359,0.00827576451950918,0.00541182700173755
27,2.83321285023223e-11,6.34703451174273e-07,7.67798016666332e-05,7.14920749447833e-08,0.00654822289981034,0.00469237758512038,0.00625912462549697,0.00499319420555078
28,6.61363565520883e-12,4.52330459583398e-07,6.80647723903412e-05,5.05039539983684e-08,0.00357557403518056,0.00267333754930689,0.00386845434328988,0.00918010065137816
29,9.58760273087603e-13,3.92994135501183e-07,3.62483762908898e-05,6.63020370711123e-08,0.0104374495327445,0.000585376617914937,0.00178047130071995,0.00907029892493253
