"subj","region_C","std_res_f_coca_log","std_res_prevf_coca_log","prevwlen_C","printexp.comp_bct:region_C","gort.wpm.st:region_C","decod.comp_bct:region_C","decod.comp_bct:reglen_C"
16,7.48273477961245,-5.1862563686075,-4.1968521453947,5.55996892373284,-4.36368850935295,4.36804174618678,1.52710758204812,-2.28349730140071
17,6.58522545525765,-5.07661156062447,-4.33676354105834,5.5968896134558,-3.24365223935737,3.01237310041759,3.14771775679506,-2.88449077713621
18,6.78974732829388,-5.24966950244566,-4.11949748572092,5.57547620579495,-2.84569685888229,1.96477931462881,3.03132916205289,-3.50385717743309
19,6.82031619578632,-5.15930730082767,-4.29515794112372,5.7405665622254,-2.90265069929899,3.02986326458282,2.83904632663773,-3.04090563336812
20,6.8925408139926,-5.17248732883923,-4.32342154006852,5.70594769952986,-2.88902038475627,3.02257303164692,2.86241684764542,-3.01589123487572
21,6.89699781023453,-5.15393555008813,-4.16481080983377,5.68500500102177,-2.77150086725778,2.99453312442028,2.81619210737054,-2.65437198027103
22,6.40605881830727,-5.13451514947524,-4.21853783125227,5.7628899779515,-3.10130396847636,3.80410492703129,2.25618120434225,-3.02111097824471
23,7.20547865417256,-5.44006427461445,-4.28937491677032,5.85294691853013,-2.65148285192566,2.79032091192224,3.33073693073745,-2.68711118772815
24,6.9263754499657,-5.14575925655089,-4.04980402982018,5.58649672883052,-2.86524427803502,2.89652991924735,2.99048866424473,-2.89358704901078
25,7.5481950208674,-5.13774544730829,-3.93043287136251,5.45397982350582,-2.5403683799337,2.61100707948444,3.18448111747151,-2.78559852319292
26,6.87615639615074,-5.18509456294392,-4.28031743954442,5.76926946760721,-2.85603466523228,2.97423531147454,2.78405655104827,-2.93265408858947
27,6.83638590766397,-5.16743058394694,-4.13657597979989,5.57400048441298,-2.86692275652777,2.98089830218578,2.88262949635434,-2.95998004028793
28,7.04598453824401,-5.23257379991219,-4.16560013390751,5.63600491013414,-3.07072988497526,3.16401296948067,3.0449833211411,-2.74655368671459
29,7.3149431705239,-5.25937878734222,-4.31420385156695,5.58750511086432,-2.69941345139952,3.6122891892441,3.28996615205537,-2.75093130581212
