"subj","region_C","reglen_C","std_res_f_coca_log","std_res_prevf_coca_log","prevwlen_C","std_res_nextf_coca_log","sspan.corr.st:region_C","sspan.corr.st:reglen_C"
32,7.20899018765559e-09,2.36459663417251e-19,0.00176074632782392,5.64392840424405e-05,8.17907226003973e-06,7.53191713241493e-06,0.00316455530720873,0.00593437852673617
33,2.25384863090435e-09,3.77125274551352e-20,0.00163788309637813,3.504869326412e-05,5.313163511358e-06,4.35642360108221e-06,0.00352816482427871,0.00669086816042286
34,3.62139749916465e-10,3.22999438101965e-19,0.000957167035774795,2.64942168766418e-05,1.42654332092459e-05,3.32831751781502e-06,0.00750892918212569,0.153701621330837
35,9.94040477220555e-12,4.60937348705355e-21,0.000902431214639281,3.79481963880535e-05,1.80857082598689e-05,5.39799901632635e-06,0.00638726967224706,0.00712559393343481
36,4.74004006469335e-10,1.26316678687885e-20,0.00254203322899177,5.46165771018564e-05,5.84317219876928e-06,2.45307203565343e-06,0.00349159828800363,0.00715955916449235
37,2.91810754717317e-09,1.34325488572318e-19,0.00215771770488293,0.000114540973255274,1.83836087988879e-05,1.32674762213515e-06,0.00208214631260081,0.00457890477184759
38,2.70465657619934e-10,2.48176943407015e-20,0.00148053601092169,4.70991167788257e-05,1.01540207325819e-05,2.9533793535667e-06,0.00378098556151829,0.009244523756021
39,3.46519755815582e-11,1.56536465101474e-20,0.00162905861306005,3.84201875219141e-05,5.56779834442038e-06,2.06789972163451e-06,0.00328181345752156,0.00686488246246274
40,2.97667090808729e-11,2.59867644639909e-20,0.00287099859231093,7.36590331303914e-05,6.21161861679194e-06,4.01035730889893e-06,0.0186285876836963,0.00648659670403949
41,3.3220239382173e-10,6.95648465235251e-21,0.00229854583992482,3.6594990830063e-05,8.21544652565815e-06,5.42219294409137e-06,0.00493208664158468,0.00758562406140987
42,3.05449676242226e-10,7.65986079250585e-19,0.00462670874079546,4.07819433699469e-05,4.58352823095413e-06,5.67304893061449e-06,0.00504641768830284,0.00374198803417016
